Date,peak_system_demand_mw
2005-01-01,5083
2005-02-01,5285
2005-03-01,5333
2005-04-01,5408
2005-05-01,5385
2005-06-01,5298
2005-07-01,5297
2005-08-01,5341
2005-09-01,5471
2005-10-01,5475
2005-11-01,5456
2005-12-01,5332
2006-01-01,5235
2006-02-01,5442
2006-03-01,5525
2006-04-01,5460
2006-05-01,5572
2006-06-01,5561
2006-07-01,5555
2006-08-01,5551
2006-09-01,5503
2006-10-01,5624
2006-11-01,5534
2006-12-01,5526
2007-01-01,5568
2007-02-01,5563
2007-03-01,5707
2007-04-01,5753
2007-05-01,5867
2007-06-01,5770
2007-07-01,5799
2007-08-01,5769
2007-09-01,5835
2007-10-01,5946
2007-11-01,5713
2007-12-01,5561
2008-01-01,5735
2008-02-01,5749
2008-03-01,5790
2008-04-01,5976
2008-05-01,6073
2008-06-01,5892
2008-07-01,5847
2008-08-01,5819
2008-09-01,5902
2008-10-01,5821
2008-11-01,5660
2008-12-01,5661
2009-01-01,5488
2009-02-01,5629
2009-03-01,5482
2009-04-01,5806
2009-05-01,5926
2009-06-01,5940
2009-07-01,5958
2009-08-01,6032
2009-09-01,6041
2009-10-01,6039
2009-11-01,5922
2009-12-01,5904
2010-01-01,5981
2010-02-01,6216
2010-03-01,6218
2010-04-01,6395
2010-05-01,6494
2010-06-01,6311
2010-07-01,6244
2010-08-01,6358
2010-09-01,6285
2010-10-01,6345
2010-11-01,6320
2010-12-01,6232
2011-01-01,6160
2011-02-01,6214
2011-03-01,6227
2011-04-01,6310
2011-05-01,6570
2011-06-01,6500
2011-07-01,6482
2011-08-01,6417
2011-09-01,6480
2011-10-01,6326
2011-11-01,6256
2011-12-01,6159
2012-01-01,6323
2012-02-01,6289
2012-03-01,6373
2012-04-01,6457
2012-05-01,6639
2012-06-01,6552
2012-07-01,6524
2012-08-01,6576
2012-09-01,6490
2012-10-01,6563
2012-11-01,6432
2012-12-01,6323
2013-01-01,6455
2013-02-01,6381
2013-03-01,6471
2013-04-01,6572
2013-05-01,6686
2013-06-01,6814
2013-07-01,6735
2013-08-01,6659
2013-09-01,6663
2013-10-01,6578
2013-11-01,6556
2013-12-01,6466
2014-01-01,6385
2014-02-01,6541
2014-03-01,6652
2014-04-01,6715
2014-05-01,6801
2014-06-01,6869
2014-07-01,6868
2014-08-01,6761
2014-09-01,6846
2014-10-01,6850
2014-11-01,6699
2014-12-01,6572
2015-01-01,6546
2015-02-01,6551
2015-03-01,6746
2015-04-01,6890
2015-05-01,6839
2015-06-01,6960
2015-07-01,6919
2015-08-01,6849
2015-09-01,6856
2015-10-01,6870
2015-11-01,6748
2015-12-01,6626
2016-01-01,6735
2016-02-01,6733
2016-03-01,6909
2016-04-01,7081
2016-05-01,7099
2016-06-01,6961
2016-07-01,7045
2016-08-01,7149
2016-09-01,7092
2016-10-01,7054
2016-11-01,6897
2016-12-01,6983
2017-01-01,6978
2017-02-01,6851
2017-03-01,6856
2017-04-01,6859
2017-05-01,7105
2017-06-01,7188
2017-07-01,7184
2017-08-01,7170
2017-09-01,7049
2017-10-01,7030
2017-11-01,6930
2017-12-01,6981
2018-01-01,6915
2018-02-01,6966
2018-03-01,7082
2018-04-01,7222
2018-05-01,7331
2018-06-01,7370
2018-07-01,7231
2018-08-01,7313
2018-09-01,7101
2018-10-01,7257
2018-11-01,6988
2018-12-01,6961
2019-01-01,7095
2019-02-01,7072
2019-03-01,7141
2019-04-01,7380
2019-05-01,7404
2019-06-01,7195
2019-07-01,7260
2019-08-01,7358
2019-09-01,7376
2019-10-01,7150
2019-11-01,7153
2019-12-01,7018
2020-01-01,7186
2020-02-01,7179
2020-03-01,7320
2020-04-01,7275
2020-05-01,6702
2020-06-01,6950
2020-07-01,7004
2020-08-01,7376
2020-09-01,7064
2020-10-01,7078
2020-11-01,7198
2020-12-01,7127
2021-01-01,6899
2021-02-01,7169
2021-03-01,7397
2021-04-01,7398
2021-05-01,7562
2021-06-01,7518
2021-07-01,7560
2021-08-01,7374
2021-09-01,7466
2021-10-01,7725
2021-11-01,7511
2021-12-01,7548
2022-01-01,7411
2022-02-01,7394
2022-03-01,7595
2022-04-01,7541
2022-05-01,7789
2022-06-01,7556
2022-07-01,7769
2022-08-01,7781
2022-09-01,7545
2022-10-01,7508
2022-11-01,7586
2022-12-01,7299
2023-01-01,7385
2023-02-01,7268
2023-03-01,7540
2023-04-01,7683
2023-05-01,7861
2023-06-01,7744
2023-07-01,7658
2023-08-01,7664
2023-09-01,7756
2023-10-01,7777
2023-11-01,7592
2023-12-01,7400
2024-01-01,7500
2024-02-01,7673
2024-03-01,7885
2024-04-01,8016
2024-05-01,7989
2024-06-01,7920
